job_id,job_title,company_name,location,salary_min_usd,salary_max_usd,tech_stack,source,description,date_posted
OGWIP_100000,Machine Learning Engineer,Umbrella Corp,"San Francisco, CA, USA",128065,169396,"JavaScript, React, Node.js, MongoDB",USAJOBS,"We are Umbrella Corp, looking for a Machine Learning Engineer based in San Francisco, CA, USA. You will work with JavaScript, React, Node.js, MongoDB to build scalable solutions. We offer competitive pay between $128,065 and $169,396.",2026-08-04 22:00:00
OGWIP_100002,Data Scientist,European Space Agency,"Amsterdam, Netherlands",85285,127996,"Rust, WebAssembly, System Architecture",USAJOBS,"We are European Space Agency, looking for a Data Scientist based in Amsterdam, Netherlands. You will work with Rust, WebAssembly, System Architecture to build scalable solutions. We offer competitive pay between $85,285 and $127,996.",2026-08-01 00:00:00
OGWIP_100011,Full Stack Developer,Umbrella Corp,"London, UK",72939,99091,"JavaScript, React, Node.js, MongoDB",USAJOBS,"We are Umbrella Corp, looking for a Full Stack Developer based in London, UK. You will work with JavaScript, React, Node.js, MongoDB to build scalable solutions. We offer competitive pay between $72,939 and $99,091.",2026-08-04 23:00:00
OGWIP_100013,Lead Data Scientist,AI Solutions LLC,"New York, NY, USA",215001,280274,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are AI Solutions LLC, looking for a Lead Data Scientist based in New York, NY, USA. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $215,001 and $280,274.",2026-08-01 08:00:00
OGWIP_100031,Backend Developer,CyberDyne,Remote - APAC,74938,96342,"TypeScript, Angular, Firebase",USAJOBS,"We are CyberDyne, looking for a Backend Developer based in Remote - APAC. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $74,938 and $96,342.",2026-08-04 22:00:00
OGWIP_100035,Technical Program Manager,Umbrella Corp,"Sydney, Australia",83580,118852,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are Umbrella Corp, looking for a Technical Program Manager based in Sydney, Australia. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $83,580 and $118,852.",2026-08-04 13:00:00
OGWIP_100044,Product Manager,European Space Agency,"London, UK",67699,109171,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are European Space Agency, looking for a Product Manager based in London, UK. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $67,699 and $109,171.",2026-08-01 05:00:00
OGWIP_100046,Cybersecurity Analyst,Wayne Enterprises,"London, UK",74576,84694,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are Wayne Enterprises, looking for a Cybersecurity Analyst based in London, UK. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $74,576 and $84,694.",2026-08-04 22:00:00
OGWIP_100059,Analytics Engineer,Wayne Enterprises,Singapore,80366,113569,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are Wayne Enterprises, looking for a Analytics Engineer based in Singapore. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $80,366 and $113,569.",2026-08-03 12:00:00
OGWIP_100066,Senior Software Engineer,Quantum Data,"Sydney, Australia",133550,206861,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are Quantum Data, looking for a Senior Software Engineer based in Sydney, Australia. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $133,550 and $206,861.",2026-08-04 18:00:00
OGWIP_100076,Staff Engineer,AI Solutions LLC,"Berlin, Germany",104475,135550,"TypeScript, Angular, Firebase",USAJOBS,"We are AI Solutions LLC, looking for a Staff Engineer based in Berlin, Germany. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $104,475 and $135,550.",2026-08-02 15:00:00
OGWIP_100077,Technical Program Manager,NASA,Remote - Global,79993,120663,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are NASA, looking for a Technical Program Manager based in Remote - Global. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $79,993 and $120,663.",2026-08-02 07:00:00
OGWIP_100080,Full Stack Developer,European Space Agency,"London, UK",75585,91562,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are European Space Agency, looking for a Full Stack Developer based in London, UK. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $75,585 and $91,562.",2026-08-03 20:00:00
OGWIP_100089,Technical Program Manager,AI Solutions LLC,Singapore,83412,111280,"TypeScript, Angular, Firebase",USAJOBS,"We are AI Solutions LLC, looking for a Technical Program Manager based in Singapore. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $83,412 and $111,280.",2026-08-01 01:00:00
OGWIP_100096,Cloud Architect,Initech,"Austin, TX, USA",141247,176765,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are Initech, looking for a Cloud Architect based in Austin, TX, USA. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $141,247 and $176,765.",2026-08-03 04:00:00
OGWIP_100111,Product Manager,Quantum Data,Remote - US Only,78229,98200,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are Quantum Data, looking for a Product Manager based in Remote - US Only. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $78,229 and $98,200.",2026-08-01 19:00:00
OGWIP_100113,Full Stack Developer,NASA,"London, UK",70098,108621,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are NASA, looking for a Full Stack Developer based in London, UK. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $70,098 and $108,621.",2026-08-01 08:00:00
OGWIP_100118,AI Researcher,GlobalSystems Inc,Remote - APAC,102038,125949,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are GlobalSystems Inc, looking for a AI Researcher based in Remote - APAC. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $102,038 and $125,949.",2026-08-01 12:00:00
OGWIP_100124,Staff Engineer,CyberDyne,Remote - US Only,124100,185562,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are CyberDyne, looking for a Staff Engineer based in Remote - US Only. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $124,100 and $185,562.",2026-08-01 23:00:00
OGWIP_100128,Cloud Architect,Globex,Remote - EMEA,133632,156575,"C++, CUDA, Computer Vision",USAJOBS,"We are Globex, looking for a Cloud Architect based in Remote - EMEA. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $133,632 and $156,575.",2026-08-03 00:00:00
OGWIP_100159,Cybersecurity Analyst,TechNova,"Bengaluru, India",36216,46325,"TypeScript, Angular, Firebase",USAJOBS,"We are TechNova, looking for a Cybersecurity Analyst based in Bengaluru, India. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $36,216 and $46,325.",2026-08-02 19:00:00
OGWIP_100160,Staff Engineer,Initech,"San Francisco, CA, USA",186909,223465,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are Initech, looking for a Staff Engineer based in San Francisco, CA, USA. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $186,909 and $223,465.",2026-08-04 22:00:00
OGWIP_100161,Data Scientist,EduTech Global,"Austin, TX, USA",103556,140317,"C++, CUDA, Computer Vision",USAJOBS,"We are EduTech Global, looking for a Data Scientist based in Austin, TX, USA. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $103,556 and $140,317.",2026-08-02 23:00:00
OGWIP_100165,Site Reliability Engineer,GlobalSystems Inc,Singapore,94766,106917,"C++, CUDA, Computer Vision",USAJOBS,"We are GlobalSystems Inc, looking for a Site Reliability Engineer based in Singapore. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $94,766 and $106,917.",2026-08-02 02:00:00
OGWIP_100173,AI Researcher,AI Solutions LLC,"Paris, France",99550,151300,"TypeScript, Angular, Firebase",USAJOBS,"We are AI Solutions LLC, looking for a AI Researcher based in Paris, France. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $99,550 and $151,300.",2026-08-05 01:00:00
OGWIP_100175,Cybersecurity Analyst,Federal Bureau of Investigation,"Sydney, Australia",81024,120477,"Rust, WebAssembly, System Architecture",USAJOBS,"We are Federal Bureau of Investigation, looking for a Cybersecurity Analyst based in Sydney, Australia. You will work with Rust, WebAssembly, System Architecture to build scalable solutions. We offer competitive pay between $81,024 and $120,477.",2026-08-02 14:00:00
OGWIP_100186,Senior Software Engineer,Stark Industries,Remote - APAC,118546,166107,"Java, Spring Boot, Kafka, PostgreSQL",USAJOBS,"We are Stark Industries, looking for a Senior Software Engineer based in Remote - APAC. You will work with Java, Spring Boot, Kafka, PostgreSQL to build scalable solutions. We offer competitive pay between $118,546 and $166,107.",2026-08-05 04:00:00
OGWIP_100189,Cybersecurity Analyst,FinTech Innovations,Singapore,83587,138795,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are FinTech Innovations, looking for a Cybersecurity Analyst based in Singapore. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $83,587 and $138,795.",2026-08-05 04:00:00
OGWIP_100191,Site Reliability Engineer,Initech,Remote - US Only,73868,102375,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are Initech, looking for a Site Reliability Engineer based in Remote - US Only. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $73,868 and $102,375.",2026-08-04 10:00:00
OGWIP_100205,Full Stack Developer,Globex,"New York, NY, USA",119426,176803,"Python, SQL, TensorFlow, PyTorch",USAJOBS,"We are Globex, looking for a Full Stack Developer based in New York, NY, USA. You will work with Python, SQL, TensorFlow, PyTorch to build scalable solutions. We offer competitive pay between $119,426 and $176,803.",2026-08-02 16:00:00
OGWIP_100220,NLP Engineer,EduTech Global,"Toronto, Canada",94776,132722,"Python, Pandas, Scikit-Learn, AWS",USAJOBS,"We are EduTech Global, looking for a NLP Engineer based in Toronto, Canada. You will work with Python, Pandas, Scikit-Learn, AWS to build scalable solutions. We offer competitive pay between $94,776 and $132,722.",2026-08-02 06:00:00
OGWIP_100223,Backend Developer,Quantum Data,Remote - US Only,80671,108674,"Go, Kubernetes, Docker, GCP",USAJOBS,"We are Quantum Data, looking for a Backend Developer based in Remote - US Only. You will work with Go, Kubernetes, Docker, GCP to build scalable solutions. We offer competitive pay between $80,671 and $108,674.",2026-08-04 15:00:00
OGWIP_100249,Full Stack Developer,European Space Agency,"Sydney, Australia",90357,119363,"C++, CUDA, Computer Vision",USAJOBS,"We are European Space Agency, looking for a Full Stack Developer based in Sydney, Australia. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $90,357 and $119,363.",2026-08-05 03:00:00
OGWIP_100250,Cybersecurity Analyst,GlobalSystems Inc,Remote - APAC,74799,104739,"Python, Airflow, Snowflake, dbt",USAJOBS,"We are GlobalSystems Inc, looking for a Cybersecurity Analyst based in Remote - APAC. You will work with Python, Airflow, Snowflake, dbt to build scalable solutions. We offer competitive pay between $74,799 and $104,739.",2026-08-04 12:00:00
OGWIP_100251,DevOps Engineer,Federal Bureau of Investigation,Remote - Global,84313,105283,"Rust, WebAssembly, System Architecture",USAJOBS,"We are Federal Bureau of Investigation, looking for a DevOps Engineer based in Remote - Global. You will work with Rust, WebAssembly, System Architecture to build scalable solutions. We offer competitive pay between $84,313 and $105,283.",2026-08-02 21:00:00
OGWIP_100252,Cloud Architect,Stark Industries,Remote - APAC,127254,162533,"TypeScript, Angular, Firebase",USAJOBS,"We are Stark Industries, looking for a Cloud Architect based in Remote - APAC. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $127,254 and $162,533.",2026-08-02 14:00:00
OGWIP_100259,Backend Developer,HealthAI,Remote - APAC,76335,114845,"TypeScript, Angular, Firebase",USAJOBS,"We are HealthAI, looking for a Backend Developer based in Remote - APAC. You will work with TypeScript, Angular, Firebase to build scalable solutions. We offer competitive pay between $76,335 and $114,845.",2026-08-05 02:00:00
OGWIP_100260,Lead Data Scientist,GlobalSystems Inc,"Paris, France",167820,200074,"C++, CUDA, Computer Vision",USAJOBS,"We are GlobalSystems Inc, looking for a Lead Data Scientist based in Paris, France. You will work with C++, CUDA, Computer Vision to build scalable solutions. We offer competitive pay between $167,820 and $200,074.",2026-08-01 04:00:00
OGWIP_100272,Machine Learning Engineer,EduTech Global,"New York, NY, USA",137357,172783,"Ruby on Rails, Redis, Heroku",USAJOBS,"We are EduTech Global, looking for a Machine Learning Engineer based in New York, NY, USA. You will work with Ruby on Rails, Redis, Heroku to build scalable solutions. We offer competitive pay between $137,357 and $172,783.",2026-08-03 18:00:00
